Index;sexe;Tranche Age;enfant_conduite_accompagne;enfants;Tranche Revenu;formation;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tranche Tarifaire ;code postal
0;F;Jeune : moins de 25 ans;Aucun;VRAI;>120K;Bachelors;Commercial;Sports Car;Faible;7.0;Highly Urban/ Urban;25/02/2022 16:13;dev_integral;Moyenne;40180
1;F;Senior : 65 ans et plus;Un;VRAI;[40K - 60K[;High School;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;24/05/2022 21:07;dev_express;Basse;3000
2;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;Pickup;Faible;4.0;Highly Rural/ Rural;24/01/2022 08:17;dev_express;Basse;4800
3;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Moyen;5.0;Highly Urban/ Urban;20/04/2022 03:46;dev_integral;Moyenne;6370
4;M;Senior : 65 ans et plus;Aucun;FAUX;Non connu;Bachelors;Commercial;Panel Truck;Moyen;12.0;Highly Urban/ Urban;23/03/2022 01:32;dev_vip;Elevée;19100
5;F;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Bachelors;Private;SUV;Moyen;15.0;Highly Rural/ Rural;23/03/2022 22:20;dev_premium;Moyenne;70250
6;F;Senior : 65 ans et plus;Plusieurs;VRAI;>120K;Bachelors;Commercial;Minivan;Faible;9.0;Highly Rural/ Rural;13/03/2022 01:10;dev_express;Basse;58000
7;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Private;SUV;Faible;10.0;Highly Urban/ Urban;09/03/2022 03:43;dev_premium;Moyenne;73460
8;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;PhD;Private;Minivan;Faible;14.0;Highly Urban/ Urban;29/01/2022 10:17;dev_premium;Moyenne;30800
9;F;Adulte : 25-64 ans;Aucun;FAUX;Non connu;Bachelors;Commercial;Panel Truck;Faible;10.0;Highly Urban/ Urban;26/03/2022 07:37;dev_integral;Moyenne;47510
10;F;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;Bachelors;Private;Minivan;Faible;10.0;Highly Urban/ Urban;26/05/2022 05:51;dev_express;Basse;83500
11;M;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;27/01/2022 09:33;dev_premium;Moyenne;
12;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;PhD;Private;SUV;Faible;18.0;Highly Urban/ Urban;08/05/2022 13:32;dev_express;Basse;23800
13;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Van;Moyen;6.0;Highly Rural/ Rural;02/05/2022 08:44;dev_integral;Moyenne;13080
14;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;15/04/2022 13:09;dev_integral;Moyenne;68790
15;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Masters;Private;Minivan;Faible;13.0;Highly Urban/ Urban;11/05/2022 02:24;dev_express;Basse;81100
16;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Faible;15.0;Highly Urban/ Urban;12/04/2022 01:20;dev_integral;Moyenne;75018
17;F;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Van;Faible;8.0;Highly Urban/ Urban;04/03/2022 09:15;dev_express;Basse;78210
18;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Bachelors;Private;Minivan;Faible;11.0;Highly Urban/ Urban;05/02/2022 17:39;dev_express;Basse;95470
19;F;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Private;SUV;Faible;10.0;Highly Urban/ Urban;25/04/2022 14:43;dev_integral;Basse;16410
20;M;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Masters;Private;Minivan;Faible;16.0;Highly Rural/ Rural;20/03/2022 03:44;dev_express;Basse;2270
21;M;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;;Highly Urban/ Urban;27/03/2022 09:22;dev_premium;Moyenne;69100
22;F;Jeune : moins de 25 ans;Aucun;FAUX;Non connu;High School;Commercial;Van;Faible;7.0;Highly Urban/ Urban;16/05/2022 02:39;dev_premium;Moyenne;46000
23;F;Senior : 65 ans et plus;Aucun;VRAI;[40K - 60K[;High School;Commercial;Sports Car;Moyen;1.0;Highly Urban/ Urban;06/02/2022 07:52;dev_premium;Moyenne;33700
24;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Faible;1.0;Highly Urban/ Urban;27/04/2022 15:06;dev_express;Basse;93380
25;M;Senior : 65 ans et plus;Aucun;FAUX;Non connu;High School;Private;Minivan;Faible;;Highly Rural/ Rural;13/04/2022 00:52;dev_express;Basse;18000
26;F;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Sports Car;Faible;1.0;Highly Rural/ Rural;22/03/2022 13:32;dev_integral;Basse;53950
27;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Masters;Private;SUV;Moyen;;Highly Urban/ Urban;22/04/2022 03:39;dev_integral;Basse;87510
28;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;23/03/2022 22:44;dev_vip;Elevée;95220
